Year,Collection Per Capita,Library
2016,6.73913,BEVERLY HILLS PUBLIC LIBRARY
2017,8.38981,BEVERLY HILLS PUBLIC LIBRARY
2018,18.51125,BEVERLY HILLS PUBLIC LIBRARY
2019,23.50949,BEVERLY HILLS PUBLIC LIBRARY
2010,3.16671,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2011,3.22532,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2012,3.15454,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2013,3.25079,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2014,3.53479,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2015,7.52032,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2016,5.17352,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2017,8.45276,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2018,9.25725,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2019,12.49663,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2010,2.15045,BRAWLEY PUBLIC LIBRARY
2011,2.13788,BRAWLEY PUBLIC LIBRARY
2012,2.25697,BRAWLEY PUBLIC LIBRARY
2013,2.25988,BRAWLEY PUBLIC LIBRARY
2014,2.14913,BRAWLEY PUBLIC LIBRARY
2015,2.28164,BRAWLEY PUBLIC LIBRARY
2016,2.07464,BRAWLEY PUBLIC LIBRARY
2017,2.05413,BRAWLEY PUBLIC LIBRARY
2018,1.95775,BRAWLEY PUBLIC LIBRARY
2019,1.81626,BRAWLEY PUBLIC LIBRARY
2010,1.62341,BUENA PARK LIBRARY DISTRICT
2011,1.54813,BUENA PARK LIBRARY DISTRICT
2012,1.53793,BUENA PARK LIBRARY DISTRICT
2013,1.37943,BUENA PARK LIBRARY DISTRICT
2014,1.79471,BUENA PARK LIBRARY DISTRICT
2015,1.64975,BUENA PARK LIBRARY DISTRICT
2016,1.65636,BUENA PARK LIBRARY DISTRICT
2017,1.7019,BUENA PARK LIBRARY DISTRICT
2018,1.77429,BUENA PARK LIBRARY DISTRICT
2019,8.50227,BUENA PARK LIBRARY DISTRICT
2010,4.86579,BURBANK PUBLIC LIBRARY
2011,5.12328,BURBANK PUBLIC LIBRARY
2012,5.34695,BURBANK PUBLIC LIBRARY
2013,5.52945,BURBANK PUBLIC LIBRARY
2014,4.83523,BURBANK PUBLIC LIBRARY
