Year,Collection Per Capita,Library
2010,1.96172,ORANGE COUNTY PUBLIC LIBRARIES
2011,1.77102,ORANGE COUNTY PUBLIC LIBRARIES
2012,1.627,ORANGE COUNTY PUBLIC LIBRARIES
2013,1.40237,ORANGE COUNTY PUBLIC LIBRARIES
2014,1.41824,ORANGE COUNTY PUBLIC LIBRARIES
2015,1.21504,ORANGE COUNTY PUBLIC LIBRARIES
2016,1.24384,ORANGE COUNTY PUBLIC LIBRARIES
2017,1.12453,ORANGE COUNTY PUBLIC LIBRARIES
2018,1.21821,ORANGE COUNTY PUBLIC LIBRARIES
2019,1.05047,ORANGE COUNTY PUBLIC LIBRARIES
2010,1.63037,ORANGE PUBLIC LIBRARY
2011,1.6628,ORANGE PUBLIC LIBRARY
2012,1.55845,ORANGE PUBLIC LIBRARY
2013,1.49279,ORANGE PUBLIC LIBRARY
2014,1.92565,ORANGE PUBLIC LIBRARY
2015,1.94796,ORANGE PUBLIC LIBRARY
2016,1.52577,ORANGE PUBLIC LIBRARY
2017,1.44109,ORANGE PUBLIC LIBRARY
2018,1.33069,ORANGE PUBLIC LIBRARY
2019,1.327,ORANGE PUBLIC LIBRARY
2010,3.62943,ORLAND FREE LIBRARY
2011,3.66288,ORLAND FREE LIBRARY
2012,3.84625,ORLAND FREE LIBRARY
2013,3.74232,ORLAND FREE LIBRARY
2014,3.82285,ORLAND FREE LIBRARY
2015,3.99801,ORLAND FREE LIBRARY
2016,3.96561,ORLAND FREE LIBRARY
2017,4.32722,ORLAND FREE LIBRARY
2018,4.93555,ORLAND FREE LIBRARY
2019,5.18919,ORLAND FREE LIBRARY
2010,2.03457,OXNARD PUBLIC LIBRARY
2011,2.01469,OXNARD PUBLIC LIBRARY
2012,1.85861,OXNARD PUBLIC LIBRARY
2013,1.80857,OXNARD PUBLIC LIBRARY
2014,1.84457,OXNARD PUBLIC LIBRARY
2015,2.24039,OXNARD PUBLIC LIBRARY
2016,2.63279,OXNARD PUBLIC LIBRARY
2017,3.17504,OXNARD PUBLIC LIBRARY
2018,4.34757,OXNARD PUBLIC LIBRARY
2019,4.81201,OXNARD PUBLIC LIBRARY
2010,7.37211,PACIFIC GROVE PUBLIC LIBRARY
2011,7.34339,PACIFIC GROVE PUBLIC LIBRARY
2012,6.44826,PACIFIC GROVE PUBLIC LIBRARY
2013,5.84402,PACIFIC GROVE PUBLIC LIBRARY
2014,8.70581,PACIFIC GROVE PUBLIC LIBRARY
2015,9.83064,PACIFIC GROVE PUBLIC LIBRARY
2016,11.28546,PACIFIC GROVE PUBLIC LIBRARY
2017,5.1272,PACIFIC GROVE PUBLIC LIBRARY
2018,4.32733,PACIFIC GROVE PUBLIC LIBRARY
2019,4.23878,PACIFIC GROVE PUBLIC LIBRARY
2010,2.66124,PALM SPRINGS PUBLIC LIBRARY
2011,2.30623,PALM SPRINGS PUBLIC LIBRARY
2012,2.50709,PALM SPRINGS PUBLIC LIBRARY
2013,2.69171,PALM SPRINGS PUBLIC LIBRARY
2014,2.70829,PALM SPRINGS PUBLIC LIBRARY
2015,4.00034,PALM SPRINGS PUBLIC LIBRARY
2016,4.36005,PALM SPRINGS PUBLIC LIBRARY
2017,4.50753,PALM SPRINGS PUBLIC LIBRARY
2018,5.31513,PALM SPRINGS PUBLIC LIBRARY
2019,4.7916,PALM SPRINGS PUBLIC LIBRARY
2010,0.47217,PALMDALE CITY LIBRARY
2011,0.45422,PALMDALE CITY LIBRARY
2012,0.48434,PALMDALE CITY LIBRARY
2013,0.51631,PALMDALE CITY LIBRARY
2014,0.50326,PALMDALE CITY LIBRARY
2015,0.44031,PALMDALE CITY LIBRARY
2016,0.44459,PALMDALE CITY LIBRARY
2017,0.48973,PALMDALE CITY LIBRARY
2018,0.45668,PALMDALE CITY LIBRARY
2019,4.44204,PALMDALE CITY LIBRARY
2010,4.65667,PALO ALTO CITY LIBRARY
2011,4.66693,PALO ALTO CITY LIBRARY
2012,4.19107,PALO ALTO CITY LIBRARY
2013,4.81346,PALO ALTO CITY LIBRARY
2014,5.61406,PALO ALTO CITY LIBRARY
2015,15.14348,PALO ALTO CITY LIBRARY
2016,5.70002,PALO ALTO CITY LIBRARY
2017,6.19882,PALO ALTO CITY LIBRARY
2018,6.3218,PALO ALTO CITY LIBRARY
2019,6.75262,PALO ALTO CITY LIBRARY
2010,1.44468,PALO VERDE VALLEY LIBRARY DISTRICT
2011,1.41161,PALO VERDE VALLEY LIBRARY DISTRICT
2012,1.18895,PALO VERDE VALLEY LIBRARY DISTRICT
2013,1.16783,PALO VERDE VALLEY LIBRARY DISTRICT
2014,1.18197,PALO VERDE VALLEY LIBRARY DISTRICT
2015,1.15395,PALO VERDE VALLEY LIBRARY DISTRICT
2016,1.16961,PALO VERDE VALLEY LIBRARY DISTRICT
2017,1.13062,PALO VERDE VALLEY LIBRARY DISTRICT
2018,1.13787,PALO VERDE VALLEY LIBRARY DISTRICT
2019,1.86723,PALO VERDE VALLEY LIBRARY DISTRICT
2010,4.95167,PALOS VERDES LIBRARY DISTRICT
2011,4.17482,PALOS VERDES LIBRARY DISTRICT
2012,4.13671,PALOS VERDES LIBRARY DISTRICT
2013,4.00833,PALOS VERDES LIBRARY DISTRICT
2014,4.58531,PALOS VERDES LIBRARY DISTRICT
2015,4.84944,PALOS VERDES LIBRARY DISTRICT
2016,3.94565,PALOS VERDES LIBRARY DISTRICT
2017,7.64608,PALOS VERDES LIBRARY DISTRICT
2018,7.84787,PALOS VERDES LIBRARY DISTRICT
2019,8.23916,PALOS VERDES LIBRARY DISTRICT
2010,5.80173,PASADENA PUBLIC LIBRARY
2011,5.47356,PASADENA PUBLIC LIBRARY
2012,5.57203,PASADENA PUBLIC LIBRARY
2013,5.13391,PASADENA PUBLIC LIBRARY
2014,5.3452,PASADENA PUBLIC LIBRARY
2015,5.33036,PASADENA PUBLIC LIBRARY
2016,4.61463,PASADENA PUBLIC LIBRARY
2017,4.1763,PASADENA PUBLIC LIBRARY
2018,4.28879,PASADENA PUBLIC LIBRARY
2019,6.84797,PASADENA PUBLIC LIBRARY
2010,2.68133,PASO ROBLES CITY LIBRARY
2011,3.02677,PASO ROBLES CITY LIBRARY
2012,3.44866,PASO ROBLES CITY LIBRARY
2013,4.13138,PASO ROBLES CITY LIBRARY
2014,4.81993,PASO ROBLES CITY LIBRARY
2015,7.18176,PASO ROBLES CITY LIBRARY
2016,5.20788,PASO ROBLES CITY LIBRARY
2017,2.27209,PASO ROBLES CITY LIBRARY
2018,2.38257,PASO ROBLES CITY LIBRARY
2019,2.11508,PASO ROBLES CITY LIBRARY
2010,1.75539,PLACENTIA LIBRARY DISTRICT
2011,1.76681,PLACENTIA LIBRARY DISTRICT
2012,1.82851,PLACENTIA LIBRARY DISTRICT
2013,1.89057,PLACENTIA LIBRARY DISTRICT
2014,1.92935,PLACENTIA LIBRARY DISTRICT
2015,1.95089,PLACENTIA LIBRARY DISTRICT
2016,6.56837,PLACENTIA LIBRARY DISTRICT
2017,7.57324,PLACENTIA LIBRARY DISTRICT
2018,8.74512,PLACENTIA LIBRARY DISTRICT
2019,11.8461,PLACENTIA LIBRARY DISTRICT
2010,2.06786,PLACER COUNTY LIBRARY
2011,2.03369,PLACER COUNTY LIBRARY
2012,1.80496,PLACER COUNTY LIBRARY
2013,1.6189,PLACER COUNTY LIBRARY
2014,1.44605,PLACER COUNTY LIBRARY
2015,1.3326,PLACER COUNTY LIBRARY
2016,1.20245,PLACER COUNTY LIBRARY
2017,1.05735,PLACER COUNTY LIBRARY
2018,1.16371,PLACER COUNTY LIBRARY
2019,1.08196,PLACER COUNTY LIBRARY
2010,2.74668,PLEASANTON PUBLIC LIBRARY
2011,2.58584,PLEASANTON PUBLIC LIBRARY
2012,2.59206,PLEASANTON PUBLIC LIBRARY
2013,3.19846,PLEASANTON PUBLIC LIBRARY
2014,3.35061,PLEASANTON PUBLIC LIBRARY
2015,4.74223,PLEASANTON PUBLIC LIBRARY
2016,5.99534,PLEASANTON PUBLIC LIBRARY
2017,7.57944,PLEASANTON PUBLIC LIBRARY
2018,6.44275,PLEASANTON PUBLIC LIBRARY
2019,9.23894,PLEASANTON PUBLIC LIBRARY
2010,3.40257,PLUMAS COUNTY LIBRARY
2011,3.27228,PLUMAS COUNTY LIBRARY
2012,3.49858,PLUMAS COUNTY LIBRARY
2013,4.48072,PLUMAS COUNTY LIBRARY
2014,4.39554,PLUMAS COUNTY LIBRARY
2015,3.90837,PLUMAS COUNTY LIBRARY
2016,4.03596,PLUMAS COUNTY LIBRARY
2017,5.33185,PLUMAS COUNTY LIBRARY
2018,4.8596,PLUMAS COUNTY LIBRARY
2019,6.32897,PLUMAS COUNTY LIBRARY
2010,2.73359,POMONA PUBLIC LIBRARY
2011,2.72912,POMONA PUBLIC LIBRARY
2012,2.71186,POMONA PUBLIC LIBRARY
2013,2.7002,POMONA PUBLIC LIBRARY
2014,2.70184,POMONA PUBLIC LIBRARY
2015,2.63433,POMONA PUBLIC LIBRARY
2016,2.60014,POMONA PUBLIC LIBRARY
2017,1.87033,POMONA PUBLIC LIBRARY
2018,1.86969,POMONA PUBLIC LIBRARY
2019,1.60021,POMONA PUBLIC LIBRARY
2010,1.59156,PORTERVILLE PUBLIC LIBRARY
2011,1.51694,PORTERVILLE PUBLIC LIBRARY
2012,1.56147,PORTERVILLE PUBLIC LIBRARY
2013,1.52186,PORTERVILLE PUBLIC LIBRARY
2014,1.50668,PORTERVILLE PUBLIC LIBRARY
2015,1.34466,PORTERVILLE PUBLIC LIBRARY
2016,2.63022,PORTERVILLE PUBLIC LIBRARY
2017,3.38584,PORTERVILLE PUBLIC LIBRARY
2018,3.79769,PORTERVILLE PUBLIC LIBRARY
2019,2.83146,PORTERVILLE PUBLIC LIBRARY
2010,1.6913,RANCHO CUCAMONGA PUBLIC LIBRARY
2011,1.72144,RANCHO CUCAMONGA PUBLIC LIBRARY
2012,1.73981,RANCHO CUCAMONGA PUBLIC LIBRARY
2013,1.87507,RANCHO CUCAMONGA PUBLIC LIBRARY
2014,1.76514,RANCHO CUCAMONGA PUBLIC LIBRARY
2015,2.24494,RANCHO CUCAMONGA PUBLIC LIBRARY
2016,2.24419,RANCHO CUCAMONGA PUBLIC LIBRARY
2017,1.81935,RANCHO CUCAMONGA PUBLIC LIBRARY
2018,2.08506,RANCHO CUCAMONGA PUBLIC LIBRARY
2019,3.00252,RANCHO CUCAMONGA PUBLIC LIBRARY
2010,4.48845,RANCHO MIRAGE PUBLIC LIBRARY
2011,5.00271,RANCHO MIRAGE PUBLIC LIBRARY
2012,5.83973,RANCHO MIRAGE PUBLIC LIBRARY
2013,6.18879,RANCHO MIRAGE PUBLIC LIBRARY
2014,6.57969,RANCHO MIRAGE PUBLIC LIBRARY
2015,6.52175,RANCHO MIRAGE PUBLIC LIBRARY
2016,6.4938,RANCHO MIRAGE PUBLIC LIBRARY
2017,6.13486,RANCHO MIRAGE PUBLIC LIBRARY
2018,7.64887,RANCHO MIRAGE PUBLIC LIBRARY
2019,5.66825,RANCHO MIRAGE PUBLIC LIBRARY
2010,3.57382,REDONDO BEACH PUBLIC LIBRARY
2011,3.67863,REDONDO BEACH PUBLIC LIBRARY
2012,3.689,REDONDO BEACH PUBLIC LIBRARY
2013,3.67106,REDONDO BEACH PUBLIC LIBRARY
2014,3.8881,REDONDO BEACH PUBLIC LIBRARY
2015,5.32085,REDONDO BEACH PUBLIC LIBRARY
2016,6.08686,REDONDO BEACH PUBLIC LIBRARY
2017,8.24127,REDONDO BEACH PUBLIC LIBRARY
2018,10.07489,REDONDO BEACH PUBLIC LIBRARY
2019,9.92365,REDONDO BEACH PUBLIC LIBRARY
2010,3.76874,REDWOOD CITY PUBLIC LIBRARY
2011,4.23185,REDWOOD CITY PUBLIC LIBRARY
2012,5.33956,REDWOOD CITY PUBLIC LIBRARY
2013,5.53654,REDWOOD CITY PUBLIC LIBRARY
2014,5.53724,REDWOOD CITY PUBLIC LIBRARY
2015,6.19846,REDWOOD CITY PUBLIC LIBRARY
2016,6.42943,REDWOOD CITY PUBLIC LIBRARY
2017,6.54388,REDWOOD CITY PUBLIC LIBRARY
2018,5.23114,REDWOOD CITY PUBLIC LIBRARY
2019,6.51993,REDWOOD CITY PUBLIC LIBRARY
2010,1.7377,RICHMOND PUBLIC LIBRARY
2011,1.5444,RICHMOND PUBLIC LIBRARY
2012,1.50153,RICHMOND PUBLIC LIBRARY
2013,1.47317,RICHMOND PUBLIC LIBRARY
2014,1.60328,RICHMOND PUBLIC LIBRARY
2015,1.49838,RICHMOND PUBLIC LIBRARY
2016,1.48157,RICHMOND PUBLIC LIBRARY
2017,1.52603,RICHMOND PUBLIC LIBRARY
2018,2.25982,RICHMOND PUBLIC LIBRARY
2019,1.76598,RICHMOND PUBLIC LIBRARY
2010,1.31888,RIVERSIDE COUNTY LIBRARY SYSTEM
2011,1.39309,RIVERSIDE COUNTY LIBRARY SYSTEM
2012,1.31761,RIVERSIDE COUNTY LIBRARY SYSTEM
2013,1.03814,RIVERSIDE COUNTY LIBRARY SYSTEM
2014,1.08667,RIVERSIDE COUNTY LIBRARY SYSTEM
2015,0.99588,RIVERSIDE COUNTY LIBRARY SYSTEM
2016,0.94785,RIVERSIDE COUNTY LIBRARY SYSTEM
2017,0.87838,RIVERSIDE COUNTY LIBRARY SYSTEM
2018,0.93973,RIVERSIDE COUNTY LIBRARY SYSTEM
2019,0.95149,RIVERSIDE COUNTY LIBRARY SYSTEM
2010,1.46449,RIVERSIDE PUBLIC LIBRARY
2011,1.53032,RIVERSIDE PUBLIC LIBRARY
2012,1.28835,RIVERSIDE PUBLIC LIBRARY
2013,1.34021,RIVERSIDE PUBLIC LIBRARY
2014,1.3249,RIVERSIDE PUBLIC LIBRARY
2015,1.49159,RIVERSIDE PUBLIC LIBRARY
2016,1.59573,RIVERSIDE PUBLIC LIBRARY
2017,1.42063,RIVERSIDE PUBLIC LIBRARY
2018,1.43219,RIVERSIDE PUBLIC LIBRARY
2019,1.24347,RIVERSIDE PUBLIC LIBRARY
2010,1.48664,ROSEVILLE PUBLIC LIBRARY
2011,1.49351,ROSEVILLE PUBLIC LIBRARY
2012,1.50802,ROSEVILLE PUBLIC LIBRARY
2013,1.30538,ROSEVILLE PUBLIC LIBRARY
2014,1.32191,ROSEVILLE PUBLIC LIBRARY
2015,1.27183,ROSEVILLE PUBLIC LIBRARY
2016,1.25005,ROSEVILLE PUBLIC LIBRARY
2017,1.31883,ROSEVILLE PUBLIC LIBRARY
2018,1.41439,ROSEVILLE PUBLIC LIBRARY
2019,1.28771,ROSEVILLE PUBLIC LIBRARY
2010,1.31187,SACRAMENTO PUBLIC LIBRARY
2011,1.24928,SACRAMENTO PUBLIC LIBRARY
2012,1.25531,SACRAMENTO PUBLIC LIBRARY
2013,1.16763,SACRAMENTO PUBLIC LIBRARY
2014,1.10175,SACRAMENTO PUBLIC LIBRARY
2015,0.839,SACRAMENTO PUBLIC LIBRARY
2016,1.03903,SACRAMENTO PUBLIC LIBRARY
2017,0.93685,SACRAMENTO PUBLIC LIBRARY
2018,0.85662,SACRAMENTO PUBLIC LIBRARY
2019,0.95346,SACRAMENTO PUBLIC LIBRARY
2010,1.39164,SALINAS PUBLIC LIBRARY
2011,1.31804,SALINAS PUBLIC LIBRARY
2012,1.17658,SALINAS PUBLIC LIBRARY
2013,1.25111,SALINAS PUBLIC LIBRARY
2014,0.99579,SALINAS PUBLIC LIBRARY
2015,1.26362,SALINAS PUBLIC LIBRARY
2016,2.77031,SALINAS PUBLIC LIBRARY
2017,3.3621,SALINAS PUBLIC LIBRARY
2018,3.25893,SALINAS PUBLIC LIBRARY
2019,3.97836,SALINAS PUBLIC LIBRARY
2010,5.23427,SAN ANSELMO PUBLIC LIBRARY
2011,5.67701,SAN ANSELMO PUBLIC LIBRARY
2012,6.98496,SAN ANSELMO PUBLIC LIBRARY
2013,8.01558,SAN ANSELMO PUBLIC LIBRARY
2014,8.97853,SAN ANSELMO PUBLIC LIBRARY
2015,9.41105,SAN ANSELMO PUBLIC LIBRARY
2016,26.48442,SAN ANSELMO PUBLIC LIBRARY
2017,26.01285,SAN ANSELMO PUBLIC LIBRARY
2018,42.49806,SAN ANSELMO PUBLIC LIBRARY
2019,52.004,SAN ANSELMO PUBLIC LIBRARY
2010,1.66073,SAN BENITO COUNTY FREE LIBRARY
2011,1.72413,SAN BENITO COUNTY FREE LIBRARY
2012,1.76221,SAN BENITO COUNTY FREE LIBRARY
2013,1.72898,SAN BENITO COUNTY FREE LIBRARY
2014,1.76015,SAN BENITO COUNTY FREE LIBRARY
2015,1.8191,SAN BENITO COUNTY FREE LIBRARY
2016,2.57031,SAN BENITO COUNTY FREE LIBRARY
2017,2.6113,SAN BENITO COUNTY FREE LIBRARY
2018,2.84824,SAN BENITO COUNTY FREE LIBRARY
2019,10.25001,SAN BENITO COUNTY FREE LIBRARY
2010,0.64184,SAN BERNARDINO COUNTY LIBRARY
2011,9.93813,SAN BERNARDINO COUNTY LIBRARY
2012,0.98033,SAN BERNARDINO COUNTY LIBRARY
2013,0.94915,SAN BERNARDINO COUNTY LIBRARY
2014,1.02528,SAN BERNARDINO COUNTY LIBRARY
2015,0.98555,SAN BERNARDINO COUNTY LIBRARY
2016,1.00256,SAN BERNARDINO COUNTY LIBRARY
2017,1.1593,SAN BERNARDINO COUNTY LIBRARY
2018,1.01936,SAN BERNARDINO COUNTY LIBRARY
2019,1.01802,SAN BERNARDINO COUNTY LIBRARY
2010,1.08201,SAN BERNARDINO PUBLIC LIBRARY
2011,1.08326,SAN BERNARDINO PUBLIC LIBRARY
2012,0.97129,SAN BERNARDINO PUBLIC LIBRARY
2013,0.90079,SAN BERNARDINO PUBLIC LIBRARY
2014,0.94109,SAN BERNARDINO PUBLIC LIBRARY
2015,0.93223,SAN BERNARDINO PUBLIC LIBRARY
2016,0.97084,SAN BERNARDINO PUBLIC LIBRARY
2017,1.4384,SAN BERNARDINO PUBLIC LIBRARY
2018,1.54024,SAN BERNARDINO PUBLIC LIBRARY
2019,1.63904,SAN BERNARDINO PUBLIC LIBRARY
2010,2.40108,SAN BRUNO PUBLIC LIBRARY
2011,2.52312,SAN BRUNO PUBLIC LIBRARY
2012,2.63262,SAN BRUNO PUBLIC LIBRARY
2013,3.07947,SAN BRUNO PUBLIC LIBRARY
2014,3.398,SAN BRUNO PUBLIC LIBRARY
2015,3.62727,SAN BRUNO PUBLIC LIBRARY
2016,4.79477,SAN BRUNO PUBLIC LIBRARY
2017,4.61104,SAN BRUNO PUBLIC LIBRARY
2018,3.2311,SAN BRUNO PUBLIC LIBRARY
2019,6.08642,SAN BRUNO PUBLIC LIBRARY
2010,1.4558,SAN DIEGO COUNTY LIBRARY
2011,1.34091,SAN DIEGO COUNTY LIBRARY
2012,1.40286,SAN DIEGO COUNTY LIBRARY
2013,1.40648,SAN DIEGO COUNTY LIBRARY
2014,1.28373,SAN DIEGO COUNTY LIBRARY
2015,1.22514,SAN DIEGO COUNTY LIBRARY
2016,1.21216,SAN DIEGO COUNTY LIBRARY
2017,1.32403,SAN DIEGO COUNTY LIBRARY
2018,1.27179,SAN DIEGO COUNTY LIBRARY
2019,1.15242,SAN DIEGO COUNTY LIBRARY
2010,4.22006,SAN DIEGO PUBLIC LIBRARY
2011,4.07385,SAN DIEGO PUBLIC LIBRARY
2012,4.06172,SAN DIEGO PUBLIC LIBRARY
2013,4.06259,SAN DIEGO PUBLIC LIBRARY
2014,3.96173,SAN DIEGO PUBLIC LIBRARY
2015,3.79155,SAN DIEGO PUBLIC LIBRARY
2016,3.27664,SAN DIEGO PUBLIC LIBRARY
2017,3.2844,SAN DIEGO PUBLIC LIBRARY
2018,2.14733,SAN DIEGO PUBLIC LIBRARY
2019,1.77547,SAN DIEGO PUBLIC LIBRARY
2010,3.75841,SAN FRANCISCO PUBLIC LIBRARY
2011,3.83164,SAN FRANCISCO PUBLIC LIBRARY
2012,3.75171,SAN FRANCISCO PUBLIC LIBRARY
2013,3.7054,SAN FRANCISCO PUBLIC LIBRARY
2014,3.63179,SAN FRANCISCO PUBLIC LIBRARY
2015,3.61071,SAN FRANCISCO PUBLIC LIBRARY
2016,3.55786,SAN FRANCISCO PUBLIC LIBRARY
2017,3.47927,SAN FRANCISCO PUBLIC LIBRARY
2018,3.03076,SAN FRANCISCO PUBLIC LIBRARY
2019,3.27295,SAN FRANCISCO PUBLIC LIBRARY
2010,2.36254,SAN JOSE PUBLIC LIBRARY
2011,2.12975,SAN JOSE PUBLIC LIBRARY
2012,2.17894,SAN JOSE PUBLIC LIBRARY
2013,2.168,SAN JOSE PUBLIC LIBRARY
2014,2.325,SAN JOSE PUBLIC LIBRARY
2015,2.27168,SAN JOSE PUBLIC LIBRARY
2016,2.26757,SAN JOSE PUBLIC LIBRARY
2017,2.24926,SAN JOSE PUBLIC LIBRARY
2018,2.28058,SAN JOSE PUBLIC LIBRARY
2019,2.25349,SAN JOSE PUBLIC LIBRARY
2010,6.07746,SAN JUAN BAUTISTA CITY LIBRARY
2011,6.83342,SAN JUAN BAUTISTA CITY LIBRARY
2012,5.8219,SAN JUAN BAUTISTA CITY LIBRARY
2013,4.75013,SAN JUAN BAUTISTA CITY LIBRARY
2014,4.32539,SAN JUAN BAUTISTA CITY LIBRARY
2015,5.20184,SAN JUAN BAUTISTA CITY LIBRARY
2016,4.90194,SAN JUAN BAUTISTA CITY LIBRARY
2017,4.86973,SAN JUAN BAUTISTA CITY LIBRARY
2018,4.39212,SAN JUAN BAUTISTA CITY LIBRARY
2019,4.48911,SAN JUAN BAUTISTA CITY LIBRARY
2010,4.00694,SAN LEANDRO PUBLIC LIBRARY
2011,3.9922,SAN LEANDRO PUBLIC LIBRARY
2012,0.00843,SAN LEANDRO PUBLIC LIBRARY
2013,3.67908,SAN LEANDRO PUBLIC LIBRARY
2014,,SAN LEANDRO PUBLIC LIBRARY
2015,3.9707,SAN LEANDRO PUBLIC LIBRARY
2016,3.91455,SAN LEANDRO PUBLIC LIBRARY
2017,4.72395,SAN LEANDRO PUBLIC LIBRARY
2018,4.5535,SAN LEANDRO PUBLIC LIBRARY
2019,4.77263,SAN LEANDRO PUBLIC LIBRARY
2010,1.79413,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2011,1.89325,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2012,1.60661,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2013,1.55113,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2014,1.62553,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2015,2.09691,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2016,1.82356,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2017,2.28962,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2018,2.71401,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2019,2.53943,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2010,2.88266,SAN MATEO COUNTY LIBRARIES
2011,2.78745,SAN MATEO COUNTY LIBRARIES
2012,2.68486,SAN MATEO COUNTY LIBRARIES
2013,2.58046,SAN MATEO COUNTY LIBRARIES
2014,2.5951,SAN MATEO COUNTY LIBRARIES
2015,2.52932,SAN MATEO COUNTY LIBRARIES
2016,9.27357,SAN MATEO COUNTY LIBRARIES
2017,2.77189,SAN MATEO COUNTY LIBRARIES
2018,3.18393,SAN MATEO COUNTY LIBRARIES
2019,3.55014,SAN MATEO COUNTY LIBRARIES
2010,3.25504,SAN MATEO PUBLIC LIBRARY
2011,3.41909,SAN MATEO PUBLIC LIBRARY
2012,3.45044,SAN MATEO PUBLIC LIBRARY
2013,4.50816,SAN MATEO PUBLIC LIBRARY
2014,4.39657,SAN MATEO PUBLIC LIBRARY
2015,5.12681,SAN MATEO PUBLIC LIBRARY
2016,5.63133,SAN MATEO PUBLIC LIBRARY
2017,5.25118,SAN MATEO PUBLIC LIBRARY
2018,6.03057,SAN MATEO PUBLIC LIBRARY
2019,7.33929,SAN MATEO PUBLIC LIBRARY
2010,2.61145,SAN RAFAEL PUBLIC LIBRARY
2011,2.09855,SAN RAFAEL PUBLIC LIBRARY
2012,2.40499,SAN RAFAEL PUBLIC LIBRARY
2013,3.10291,SAN RAFAEL PUBLIC LIBRARY
2014,4.55772,SAN RAFAEL PUBLIC LIBRARY
2015,4.96867,SAN RAFAEL PUBLIC LIBRARY
2016,6.63279,SAN RAFAEL PUBLIC LIBRARY
2017,9.02107,SAN RAFAEL PUBLIC LIBRARY
2018,10.33914,SAN RAFAEL PUBLIC LIBRARY
2019,10.36452,SAN RAFAEL PUBLIC LIBRARY
2010,0.8371,SANTA ANA PUBLIC LIBRARY
2011,0.8531,SANTA ANA PUBLIC LIBRARY
2012,0.93159,SANTA ANA PUBLIC LIBRARY
2013,0.80962,SANTA ANA PUBLIC LIBRARY
2014,0.6012,SANTA ANA PUBLIC LIBRARY
2015,0.60269,SANTA ANA PUBLIC LIBRARY
2016,0.98117,SANTA ANA PUBLIC LIBRARY
2017,0.86163,SANTA ANA PUBLIC LIBRARY
2018,1.15216,SANTA ANA PUBLIC LIBRARY
2019,1.05004,SANTA ANA PUBLIC LIBRARY
2010,1.61071,SANTA BARBARA PUBLIC LIBRARY
2011,1.72788,SANTA BARBARA PUBLIC LIBRARY
2012,1.50843,SANTA BARBARA PUBLIC LIBRARY
2013,1.5076,SANTA BARBARA PUBLIC LIBRARY
2014,1.50316,SANTA BARBARA PUBLIC LIBRARY
2015,1.81081,SANTA BARBARA PUBLIC LIBRARY
2016,1.57758,SANTA BARBARA PUBLIC LIBRARY
2017,2.08443,SANTA BARBARA PUBLIC LIBRARY
2018,2.92814,SANTA BARBARA PUBLIC LIBRARY
2019,3.30492,SANTA BARBARA PUBLIC LIBRARY
2010,3.40338,SANTA CLARA CITY LIBRARY
2011,3.48057,SANTA CLARA CITY LIBRARY
2012,3.63371,SANTA CLARA CITY LIBRARY
2013,3.8954,SANTA CLARA CITY LIBRARY
2014,4.46281,SANTA CLARA CITY LIBRARY
2015,4.2109,SANTA CLARA CITY LIBRARY
2016,5.863,SANTA CLARA CITY LIBRARY
2017,6.30694,SANTA CLARA CITY LIBRARY
2018,6.53165,SANTA CLARA CITY LIBRARY
2019,7.59041,SANTA CLARA CITY LIBRARY
2010,4.3736,SANTA CLARA COUNTY LIBRARY
2011,4.5183,SANTA CLARA COUNTY LIBRARY
2012,4.53238,SANTA CLARA COUNTY LIBRARY
2013,4.50418,SANTA CLARA COUNTY LIBRARY
2014,4.52198,SANTA CLARA COUNTY LIBRARY
2015,4.90595,SANTA CLARA COUNTY LIBRARY
2016,5.12105,SANTA CLARA COUNTY LIBRARY
2017,5.05949,SANTA CLARA COUNTY LIBRARY
2018,4.58611,SANTA CLARA COUNTY LIBRARY
2019,4.83174,SANTA CLARA COUNTY LIBRARY
2010,,SANTA CLARITA PUBLIC LIBRARY
2011,2.00029,SANTA CLARITA PUBLIC LIBRARY
2012,1.99832,SANTA CLARITA PUBLIC LIBRARY
2013,1.83905,SANTA CLARITA PUBLIC LIBRARY
2014,2.28323,SANTA CLARITA PUBLIC LIBRARY
2015,1.83959,SANTA CLARITA PUBLIC LIBRARY
2016,1.69801,SANTA CLARITA PUBLIC LIBRARY
2017,1.63373,SANTA CLARITA PUBLIC LIBRARY
2018,1.48705,SANTA CLARITA PUBLIC LIBRARY
2019,1.28868,SANTA CLARITA PUBLIC LIBRARY
2010,2.21153,SANTA CRUZ PUBLIC LIBRARIES
2011,2.16928,SANTA CRUZ PUBLIC LIBRARIES
2012,2.23791,SANTA CRUZ PUBLIC LIBRARIES
2013,2.3925,SANTA CRUZ PUBLIC LIBRARIES
2014,2.04383,SANTA CRUZ PUBLIC LIBRARIES
