Year,Visits Per Capita,Library
2015,3.89709,ORANGE COUNTY PUBLIC LIBRARIES
2016,3.56653,ORANGE COUNTY PUBLIC LIBRARIES
2017,3.27553,ORANGE COUNTY PUBLIC LIBRARIES
2018,3.26329,ORANGE COUNTY PUBLIC LIBRARIES
2019,2.38417,ORANGE COUNTY PUBLIC LIBRARIES
2010,3.60869,ORANGE PUBLIC LIBRARY
2011,3.24617,ORANGE PUBLIC LIBRARY
2012,3.68079,ORANGE PUBLIC LIBRARY
2013,3.83896,ORANGE PUBLIC LIBRARY
2014,3.58528,ORANGE PUBLIC LIBRARY
2015,3.32131,ORANGE PUBLIC LIBRARY
2016,3.02992,ORANGE PUBLIC LIBRARY
2017,2.91353,ORANGE PUBLIC LIBRARY
2018,2.97931,ORANGE PUBLIC LIBRARY
2019,2.42501,ORANGE PUBLIC LIBRARY
2010,2.97995,ORLAND FREE LIBRARY
2011,3.1934,ORLAND FREE LIBRARY
2012,3.40055,ORLAND FREE LIBRARY
2013,2.47373,ORLAND FREE LIBRARY
2014,2.52347,ORLAND FREE LIBRARY
2015,2.47816,ORLAND FREE LIBRARY
2016,2.4409,ORLAND FREE LIBRARY
2017,2.50848,ORLAND FREE LIBRARY
2018,2.41837,ORLAND FREE LIBRARY
2019,1.32798,ORLAND FREE LIBRARY
2010,3.31113,OXNARD PUBLIC LIBRARY
2011,3.38557,OXNARD PUBLIC LIBRARY
2012,2.90536,OXNARD PUBLIC LIBRARY
2013,2.55592,OXNARD PUBLIC LIBRARY
2014,2.3299,OXNARD PUBLIC LIBRARY
2015,2.07336,OXNARD PUBLIC LIBRARY
2016,2.15262,OXNARD PUBLIC LIBRARY
2017,1.86307,OXNARD PUBLIC LIBRARY
2018,1.69916,OXNARD PUBLIC LIBRARY
2019,1.21682,OXNARD PUBLIC LIBRARY
2010,6.51052,PACIFIC GROVE PUBLIC LIBRARY
2011,7.64308,PACIFIC GROVE PUBLIC LIBRARY
2012,7.98107,PACIFIC GROVE PUBLIC LIBRARY
2013,8.43264,PACIFIC GROVE PUBLIC LIBRARY
2014,9.41877,PACIFIC GROVE PUBLIC LIBRARY
2015,9.32673,PACIFIC GROVE PUBLIC LIBRARY
2016,9.5251,PACIFIC GROVE PUBLIC LIBRARY
2017,9.20428,PACIFIC GROVE PUBLIC LIBRARY
2018,9.76031,PACIFIC GROVE PUBLIC LIBRARY
2019,5.14844,PACIFIC GROVE PUBLIC LIBRARY
2010,5.23326,PALM SPRINGS PUBLIC LIBRARY
2011,4.97814,PALM SPRINGS PUBLIC LIBRARY
2012,4.93262,PALM SPRINGS PUBLIC LIBRARY
2013,5.47181,PALM SPRINGS PUBLIC LIBRARY
2014,5.83673,PALM SPRINGS PUBLIC LIBRARY
2015,6.56014,PALM SPRINGS PUBLIC LIBRARY
2016,6.08301,PALM SPRINGS PUBLIC LIBRARY
2017,5.37021,PALM SPRINGS PUBLIC LIBRARY
2018,5.02157,PALM SPRINGS PUBLIC LIBRARY
2019,3.43798,PALM SPRINGS PUBLIC LIBRARY
2010,,PALMDALE CITY LIBRARY
2011,,PALMDALE CITY LIBRARY
2012,1.10822,PALMDALE CITY LIBRARY
2013,1.32781,PALMDALE CITY LIBRARY
2014,1.36151,PALMDALE CITY LIBRARY
2015,1.32069,PALMDALE CITY LIBRARY
2016,1.21952,PALMDALE CITY LIBRARY
2017,1.18447,PALMDALE CITY LIBRARY
2018,1.11801,PALMDALE CITY LIBRARY
2019,0.78149,PALMDALE CITY LIBRARY
2010,11.96425,PALO ALTO CITY LIBRARY
2011,12.87656,PALO ALTO CITY LIBRARY
2012,12.4634,PALO ALTO CITY LIBRARY
2013,10.14313,PALO ALTO CITY LIBRARY
2014,12.11621,PALO ALTO CITY LIBRARY
2015,12.18652,PALO ALTO CITY LIBRARY
2016,15.01003,PALO ALTO CITY LIBRARY
2017,14.99236,PALO ALTO CITY LIBRARY
2018,14.54874,PALO ALTO CITY LIBRARY
2019,9.58832,PALO ALTO CITY LIBRARY
2010,2.38084,PALO VERDE VALLEY LIBRARY DISTRICT
2011,2.32994,PALO VERDE VALLEY LIBRARY DISTRICT
2012,2.06281,PALO VERDE VALLEY LIBRARY DISTRICT
2013,2.26955,PALO VERDE VALLEY LIBRARY DISTRICT
2014,2.39573,PALO VERDE VALLEY LIBRARY DISTRICT
2015,2.30578,PALO VERDE VALLEY LIBRARY DISTRICT
2016,2.3856,PALO VERDE VALLEY LIBRARY DISTRICT
2017,1.90786,PALO VERDE VALLEY LIBRARY DISTRICT
2018,1.79706,PALO VERDE VALLEY LIBRARY DISTRICT
2019,1.79056,PALO VERDE VALLEY LIBRARY DISTRICT
2010,9.63103,PALOS VERDES LIBRARY DISTRICT
2011,9.04798,PALOS VERDES LIBRARY DISTRICT
2012,8.71903,PALOS VERDES LIBRARY DISTRICT
2013,9.03619,PALOS VERDES LIBRARY DISTRICT
2014,8.88083,PALOS VERDES LIBRARY DISTRICT
2015,9.24949,PALOS VERDES LIBRARY DISTRICT
2016,8.74041,PALOS VERDES LIBRARY DISTRICT
2017,8.74751,PALOS VERDES LIBRARY DISTRICT
2018,9.68198,PALOS VERDES LIBRARY DISTRICT
2019,6.93941,PALOS VERDES LIBRARY DISTRICT
2010,8.91422,PASADENA PUBLIC LIBRARY
2011,8.612,PASADENA PUBLIC LIBRARY
2012,8.9295,PASADENA PUBLIC LIBRARY
2013,8.23326,PASADENA PUBLIC LIBRARY
2014,7.62432,PASADENA PUBLIC LIBRARY
2015,7.38105,PASADENA PUBLIC LIBRARY
2016,7.18439,PASADENA PUBLIC LIBRARY
2017,7.25886,PASADENA PUBLIC LIBRARY
2018,5.49015,PASADENA PUBLIC LIBRARY
2019,4.27467,PASADENA PUBLIC LIBRARY
2010,9.0878,PASO ROBLES CITY LIBRARY
2011,8.42941,PASO ROBLES CITY LIBRARY
2012,8.17965,PASO ROBLES CITY LIBRARY
2013,7.64827,PASO ROBLES CITY LIBRARY
2014,6.99184,PASO ROBLES CITY LIBRARY
2015,7.2247,PASO ROBLES CITY LIBRARY
2016,5.4562,PASO ROBLES CITY LIBRARY
2017,5.27194,PASO ROBLES CITY LIBRARY
2018,5.02868,PASO ROBLES CITY LIBRARY
2019,3.50876,PASO ROBLES CITY LIBRARY
2010,4.27413,PLACENTIA LIBRARY DISTRICT
2011,5.20371,PLACENTIA LIBRARY DISTRICT
2012,4.92578,PLACENTIA LIBRARY DISTRICT
2013,4.82707,PLACENTIA LIBRARY DISTRICT
2014,5.75003,PLACENTIA LIBRARY DISTRICT
2015,5.58903,PLACENTIA LIBRARY DISTRICT
2016,5.84384,PLACENTIA LIBRARY DISTRICT
2017,5.52434,PLACENTIA LIBRARY DISTRICT
2018,2.64825,PLACENTIA LIBRARY DISTRICT
2019,2.53676,PLACENTIA LIBRARY DISTRICT
2010,3.3183,PLACER COUNTY LIBRARY
2011,3.51532,PLACER COUNTY LIBRARY
2012,3.40963,PLACER COUNTY LIBRARY
2013,3.67447,PLACER COUNTY LIBRARY
2014,3.25684,PLACER COUNTY LIBRARY
2015,3.34968,PLACER COUNTY LIBRARY
2016,2.79487,PLACER COUNTY LIBRARY
2017,2.64792,PLACER COUNTY LIBRARY
2018,2.75303,PLACER COUNTY LIBRARY
2019,1.84542,PLACER COUNTY LIBRARY
2010,7.96621,PLEASANTON PUBLIC LIBRARY
2011,7.87651,PLEASANTON PUBLIC LIBRARY
2012,7.78275,PLEASANTON PUBLIC LIBRARY
2013,7.59666,PLEASANTON PUBLIC LIBRARY
2014,7.34611,PLEASANTON PUBLIC LIBRARY
2015,6.94889,PLEASANTON PUBLIC LIBRARY
2016,6.94504,PLEASANTON PUBLIC LIBRARY
2017,7.66974,PLEASANTON PUBLIC LIBRARY
2018,7.38241,PLEASANTON PUBLIC LIBRARY
2019,5.02862,PLEASANTON PUBLIC LIBRARY
2010,2.10029,PLUMAS COUNTY LIBRARY
2011,1.97976,PLUMAS COUNTY LIBRARY
2012,3.62475,PLUMAS COUNTY LIBRARY
2013,3.48945,PLUMAS COUNTY LIBRARY
2014,3.53505,PLUMAS COUNTY LIBRARY
2015,,PLUMAS COUNTY LIBRARY
2016,2.54326,PLUMAS COUNTY LIBRARY
2017,2.83616,PLUMAS COUNTY LIBRARY
2018,2.38953,PLUMAS COUNTY LIBRARY
2019,2.1218,PLUMAS COUNTY LIBRARY
2010,0.84854,POMONA PUBLIC LIBRARY
2011,0.78423,POMONA PUBLIC LIBRARY
2012,0.57818,POMONA PUBLIC LIBRARY
2013,0.70788,POMONA PUBLIC LIBRARY
2014,0.73007,POMONA PUBLIC LIBRARY
2015,0.68305,POMONA PUBLIC LIBRARY
2016,0.5753,POMONA PUBLIC LIBRARY
2017,0.59548,POMONA PUBLIC LIBRARY
2018,0.46582,POMONA PUBLIC LIBRARY
2019,0.34822,POMONA PUBLIC LIBRARY
2010,3.69041,PORTERVILLE PUBLIC LIBRARY
2011,3.82207,PORTERVILLE PUBLIC LIBRARY
2012,4.00195,PORTERVILLE PUBLIC LIBRARY
2013,4.06512,PORTERVILLE PUBLIC LIBRARY
2014,3.7563,PORTERVILLE PUBLIC LIBRARY
2015,3.21144,PORTERVILLE PUBLIC LIBRARY
2016,2.91709,PORTERVILLE PUBLIC LIBRARY
2017,2.84884,PORTERVILLE PUBLIC LIBRARY
2018,2.58631,PORTERVILLE PUBLIC LIBRARY
2019,1.19028,PORTERVILLE PUBLIC LIBRARY
2010,3.84809,RANCHO CUCAMONGA PUBLIC LIBRARY
2011,3.54661,RANCHO CUCAMONGA PUBLIC LIBRARY
2012,3.37897,RANCHO CUCAMONGA PUBLIC LIBRARY
2013,3.30262,RANCHO CUCAMONGA PUBLIC LIBRARY
2014,3.34518,RANCHO CUCAMONGA PUBLIC LIBRARY
2015,3.13921,RANCHO CUCAMONGA PUBLIC LIBRARY
2016,3.25168,RANCHO CUCAMONGA PUBLIC LIBRARY
2017,3.01105,RANCHO CUCAMONGA PUBLIC LIBRARY
2018,2.8685,RANCHO CUCAMONGA PUBLIC LIBRARY
2019,2.00511,RANCHO CUCAMONGA PUBLIC LIBRARY
2010,14.12806,RANCHO MIRAGE PUBLIC LIBRARY
2011,14.35765,RANCHO MIRAGE PUBLIC LIBRARY
2012,18.83366,RANCHO MIRAGE PUBLIC LIBRARY
2013,15.61189,RANCHO MIRAGE PUBLIC LIBRARY
2014,14.86752,RANCHO MIRAGE PUBLIC LIBRARY
2015,13.55838,RANCHO MIRAGE PUBLIC LIBRARY
2016,13.8164,RANCHO MIRAGE PUBLIC LIBRARY
2017,14.08309,RANCHO MIRAGE PUBLIC LIBRARY
2018,13.503,RANCHO MIRAGE PUBLIC LIBRARY
2019,9.09595,RANCHO MIRAGE PUBLIC LIBRARY
2010,6.53321,REDONDO BEACH PUBLIC LIBRARY
2011,6.79078,REDONDO BEACH PUBLIC LIBRARY
2012,5.61946,REDONDO BEACH PUBLIC LIBRARY
2013,4.93036,REDONDO BEACH PUBLIC LIBRARY
2014,5.26277,REDONDO BEACH PUBLIC LIBRARY
2015,4.94136,REDONDO BEACH PUBLIC LIBRARY
2016,4.91152,REDONDO BEACH PUBLIC LIBRARY
2017,4.49265,REDONDO BEACH PUBLIC LIBRARY
2018,4.58711,REDONDO BEACH PUBLIC LIBRARY
2019,3.14952,REDONDO BEACH PUBLIC LIBRARY
2010,13.75959,REDWOOD CITY PUBLIC LIBRARY
2011,15.0575,REDWOOD CITY PUBLIC LIBRARY
2012,13.65252,REDWOOD CITY PUBLIC LIBRARY
2013,12.83126,REDWOOD CITY PUBLIC LIBRARY
2014,11.09867,REDWOOD CITY PUBLIC LIBRARY
2015,9.78194,REDWOOD CITY PUBLIC LIBRARY
2016,9.36084,REDWOOD CITY PUBLIC LIBRARY
2017,8.7373,REDWOOD CITY PUBLIC LIBRARY
2018,8.71922,REDWOOD CITY PUBLIC LIBRARY
2019,6.14537,REDWOOD CITY PUBLIC LIBRARY
2010,3.47341,RICHMOND PUBLIC LIBRARY
2011,2.44075,RICHMOND PUBLIC LIBRARY
2012,2.6303,RICHMOND PUBLIC LIBRARY
2013,1.78253,RICHMOND PUBLIC LIBRARY
2014,0.9847,RICHMOND PUBLIC LIBRARY
2015,,RICHMOND PUBLIC LIBRARY
2016,,RICHMOND PUBLIC LIBRARY
2017,,RICHMOND PUBLIC LIBRARY
2018,,RICHMOND PUBLIC LIBRARY
2019,,RICHMOND PUBLIC LIBRARY
2010,3.33159,RIVERSIDE COUNTY LIBRARY SYSTEM
2011,3.48374,RIVERSIDE COUNTY LIBRARY SYSTEM
2012,3.47401,RIVERSIDE COUNTY LIBRARY SYSTEM
2013,3.57648,RIVERSIDE COUNTY LIBRARY SYSTEM
2014,3.42509,RIVERSIDE COUNTY LIBRARY SYSTEM
2015,3.27421,RIVERSIDE COUNTY LIBRARY SYSTEM
2016,2.84533,RIVERSIDE COUNTY LIBRARY SYSTEM
2017,2.4015,RIVERSIDE COUNTY LIBRARY SYSTEM
2018,2.4154,RIVERSIDE COUNTY LIBRARY SYSTEM
2019,1.55447,RIVERSIDE COUNTY LIBRARY SYSTEM
2010,3.45646,RIVERSIDE PUBLIC LIBRARY
2011,3.65242,RIVERSIDE PUBLIC LIBRARY
2012,3.54642,RIVERSIDE PUBLIC LIBRARY
2013,3.26369,RIVERSIDE PUBLIC LIBRARY
2014,3.35956,RIVERSIDE PUBLIC LIBRARY
2015,2.75034,RIVERSIDE PUBLIC LIBRARY
2016,2.56144,RIVERSIDE PUBLIC LIBRARY
2017,2.42418,RIVERSIDE PUBLIC LIBRARY
2018,2.20135,RIVERSIDE PUBLIC LIBRARY
2019,1.80228,RIVERSIDE PUBLIC LIBRARY
2010,4.59223,ROSEVILLE PUBLIC LIBRARY
2011,4.59736,ROSEVILLE PUBLIC LIBRARY
2012,4.67778,ROSEVILLE PUBLIC LIBRARY
2013,4.21058,ROSEVILLE PUBLIC LIBRARY
2014,4.06184,ROSEVILLE PUBLIC LIBRARY
2015,3.9407,ROSEVILLE PUBLIC LIBRARY
2016,3.80773,ROSEVILLE PUBLIC LIBRARY
2017,3.17865,ROSEVILLE PUBLIC LIBRARY
2018,2.96691,ROSEVILLE PUBLIC LIBRARY
2019,2.27488,ROSEVILLE PUBLIC LIBRARY
2010,3.23075,SACRAMENTO PUBLIC LIBRARY
2011,2.97534,SACRAMENTO PUBLIC LIBRARY
2012,2.95791,SACRAMENTO PUBLIC LIBRARY
2013,3.00227,SACRAMENTO PUBLIC LIBRARY
2014,2.99695,SACRAMENTO PUBLIC LIBRARY
2015,2.99905,SACRAMENTO PUBLIC LIBRARY
2016,2.52452,SACRAMENTO PUBLIC LIBRARY
2017,2.52714,SACRAMENTO PUBLIC LIBRARY
2018,2.53157,SACRAMENTO PUBLIC LIBRARY
2019,1.80078,SACRAMENTO PUBLIC LIBRARY
2010,3.89089,SALINAS PUBLIC LIBRARY
2011,3.1569,SALINAS PUBLIC LIBRARY
2012,3.67871,SALINAS PUBLIC LIBRARY
2013,4.0879,SALINAS PUBLIC LIBRARY
2014,3.79648,SALINAS PUBLIC LIBRARY
2015,3.22124,SALINAS PUBLIC LIBRARY
2016,2.68349,SALINAS PUBLIC LIBRARY
2017,2.42508,SALINAS PUBLIC LIBRARY
2018,3.05251,SALINAS PUBLIC LIBRARY
2019,2.45657,SALINAS PUBLIC LIBRARY
2010,4.25447,SAN ANSELMO PUBLIC LIBRARY
2011,7.54965,SAN ANSELMO PUBLIC LIBRARY
2012,9.04843,SAN ANSELMO PUBLIC LIBRARY
2013,8.39739,SAN ANSELMO PUBLIC LIBRARY
2014,7.50624,SAN ANSELMO PUBLIC LIBRARY
2015,7.5612,SAN ANSELMO PUBLIC LIBRARY
2016,7.6847,SAN ANSELMO PUBLIC LIBRARY
2017,6.98792,SAN ANSELMO PUBLIC LIBRARY
2018,7.15905,SAN ANSELMO PUBLIC LIBRARY
2019,3.5524,SAN ANSELMO PUBLIC LIBRARY
2010,2.43809,SAN BENITO COUNTY FREE LIBRARY
2011,2.41686,SAN BENITO COUNTY FREE LIBRARY
2012,1.69517,SAN BENITO COUNTY FREE LIBRARY
2013,1.69834,SAN BENITO COUNTY FREE LIBRARY
2014,1.70078,SAN BENITO COUNTY FREE LIBRARY
2015,1.6787,SAN BENITO COUNTY FREE LIBRARY
2016,1.73095,SAN BENITO COUNTY FREE LIBRARY
2017,1.77848,SAN BENITO COUNTY FREE LIBRARY
2018,1.9026,SAN BENITO COUNTY FREE LIBRARY
2019,1.90912,SAN BENITO COUNTY FREE LIBRARY
2010,1.79152,SAN BERNARDINO COUNTY LIBRARY
2011,1.69056,SAN BERNARDINO COUNTY LIBRARY
2012,3.35901,SAN BERNARDINO COUNTY LIBRARY
2013,3.13738,SAN BERNARDINO COUNTY LIBRARY
2014,2.74415,SAN BERNARDINO COUNTY LIBRARY
2015,2.39146,SAN BERNARDINO COUNTY LIBRARY
2016,2.24841,SAN BERNARDINO COUNTY LIBRARY
2017,2.26965,SAN BERNARDINO COUNTY LIBRARY
2018,1.98433,SAN BERNARDINO COUNTY LIBRARY
2019,1.35822,SAN BERNARDINO COUNTY LIBRARY
2010,1.89077,SAN BERNARDINO PUBLIC LIBRARY
2011,2.39983,SAN BERNARDINO PUBLIC LIBRARY
2012,1.86024,SAN BERNARDINO PUBLIC LIBRARY
2013,1.57342,SAN BERNARDINO PUBLIC LIBRARY
2014,1.51694,SAN BERNARDINO PUBLIC LIBRARY
2015,1.35101,SAN BERNARDINO PUBLIC LIBRARY
2016,1.10956,SAN BERNARDINO PUBLIC LIBRARY
2017,1.13906,SAN BERNARDINO PUBLIC LIBRARY
2018,0.86231,SAN BERNARDINO PUBLIC LIBRARY
2019,0.544,SAN BERNARDINO PUBLIC LIBRARY
2010,5.73386,SAN BRUNO PUBLIC LIBRARY
2011,5.64531,SAN BRUNO PUBLIC LIBRARY
2012,5.34312,SAN BRUNO PUBLIC LIBRARY
2013,5.75071,SAN BRUNO PUBLIC LIBRARY
2014,4.93916,SAN BRUNO PUBLIC LIBRARY
2015,4.01814,SAN BRUNO PUBLIC LIBRARY
2016,3.95518,SAN BRUNO PUBLIC LIBRARY
2017,4.13293,SAN BRUNO PUBLIC LIBRARY
2018,4.54849,SAN BRUNO PUBLIC LIBRARY
2019,3.562,SAN BRUNO PUBLIC LIBRARY
2010,5.57135,SAN DIEGO COUNTY LIBRARY
2011,5.54639,SAN DIEGO COUNTY LIBRARY
2012,5.32264,SAN DIEGO COUNTY LIBRARY
2013,5.29224,SAN DIEGO COUNTY LIBRARY
2014,5.15839,SAN DIEGO COUNTY LIBRARY
2015,4.92531,SAN DIEGO COUNTY LIBRARY
2016,4.91503,SAN DIEGO COUNTY LIBRARY
2017,4.55829,SAN DIEGO COUNTY LIBRARY
2018,4.47994,SAN DIEGO COUNTY LIBRARY
2019,2.96122,SAN DIEGO COUNTY LIBRARY
2010,4.39961,SAN DIEGO PUBLIC LIBRARY
2011,4.24,SAN DIEGO PUBLIC LIBRARY
2012,4.3874,SAN DIEGO PUBLIC LIBRARY
2013,4.585,SAN DIEGO PUBLIC LIBRARY
2014,4.85416,SAN DIEGO PUBLIC LIBRARY
2015,4.98696,SAN DIEGO PUBLIC LIBRARY
2016,4.68683,SAN DIEGO PUBLIC LIBRARY
2017,4.76991,SAN DIEGO PUBLIC LIBRARY
2018,4.92488,SAN DIEGO PUBLIC LIBRARY
2019,3.75941,SAN DIEGO PUBLIC LIBRARY
2010,8.66486,SAN FRANCISCO PUBLIC LIBRARY
2011,8.92072,SAN FRANCISCO PUBLIC LIBRARY
2012,8.99853,SAN FRANCISCO PUBLIC LIBRARY
2013,8.08341,SAN FRANCISCO PUBLIC LIBRARY
2014,8.09746,SAN FRANCISCO PUBLIC LIBRARY
2015,7.34214,SAN FRANCISCO PUBLIC LIBRARY
2016,7.10401,SAN FRANCISCO PUBLIC LIBRARY
2017,6.92704,SAN FRANCISCO PUBLIC LIBRARY
2018,6.69972,SAN FRANCISCO PUBLIC LIBRARY
2019,4.25211,SAN FRANCISCO PUBLIC LIBRARY
2010,7.07162,SAN JOSE PUBLIC LIBRARY
2011,6.35001,SAN JOSE PUBLIC LIBRARY
2012,5.9287,SAN JOSE PUBLIC LIBRARY
2013,6.37556,SAN JOSE PUBLIC LIBRARY
2014,5.95957,SAN JOSE PUBLIC LIBRARY
2015,6.5781,SAN JOSE PUBLIC LIBRARY
2016,6.48463,SAN JOSE PUBLIC LIBRARY
2017,6.41291,SAN JOSE PUBLIC LIBRARY
2018,5.96953,SAN JOSE PUBLIC LIBRARY
2019,3.8382,SAN JOSE PUBLIC LIBRARY
2010,4.75962,SAN JUAN BAUTISTA CITY LIBRARY
2011,4.54394,SAN JUAN BAUTISTA CITY LIBRARY
2012,4.08081,SAN JUAN BAUTISTA CITY LIBRARY
2013,5.05879,SAN JUAN BAUTISTA CITY LIBRARY
2014,4.81762,SAN JUAN BAUTISTA CITY LIBRARY
2015,4.52794,SAN JUAN BAUTISTA CITY LIBRARY
2016,3.5361,SAN JUAN BAUTISTA CITY LIBRARY
2017,3.47037,SAN JUAN BAUTISTA CITY LIBRARY
2018,3.56848,SAN JUAN BAUTISTA CITY LIBRARY
2019,2.07055,SAN JUAN BAUTISTA CITY LIBRARY
2010,9.3419,SAN LEANDRO PUBLIC LIBRARY
2011,9.28061,SAN LEANDRO PUBLIC LIBRARY
2012,9.17876,SAN LEANDRO PUBLIC LIBRARY
2013,9.00051,SAN LEANDRO PUBLIC LIBRARY
2014,,SAN LEANDRO PUBLIC LIBRARY
2015,10.12847,SAN LEANDRO PUBLIC LIBRARY
2016,10.02696,SAN LEANDRO PUBLIC LIBRARY
2017,7.75131,SAN LEANDRO PUBLIC LIBRARY
2018,8.13722,SAN LEANDRO PUBLIC LIBRARY
2019,,SAN LEANDRO PUBLIC LIBRARY
2010,3.62639,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2011,3.73784,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2012,3.44783,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2013,3.36975,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2014,3.23324,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2015,3.53728,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2016,3.33499,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2017,3.83338,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2018,3.64524,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2019,2.54552,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2010,8.92272,SAN MATEO COUNTY LIBRARIES
2011,8.44248,SAN MATEO COUNTY LIBRARIES
2012,8.65803,SAN MATEO COUNTY LIBRARIES
2013,7.36219,SAN MATEO COUNTY LIBRARIES
2014,7.81352,SAN MATEO COUNTY LIBRARIES
2015,8.06148,SAN MATEO COUNTY LIBRARIES
2016,7.78524,SAN MATEO COUNTY LIBRARIES
2017,7.82164,SAN MATEO COUNTY LIBRARIES
2018,7.52788,SAN MATEO COUNTY LIBRARIES
2019,5.09909,SAN MATEO COUNTY LIBRARIES
2010,5.65265,SAN MATEO PUBLIC LIBRARY
2011,5.23545,SAN MATEO PUBLIC LIBRARY
2012,5.07234,SAN MATEO PUBLIC LIBRARY
2013,5.10608,SAN MATEO PUBLIC LIBRARY
2014,5.38071,SAN MATEO PUBLIC LIBRARY
2015,5.20865,SAN MATEO PUBLIC LIBRARY
2016,5.62453,SAN MATEO PUBLIC LIBRARY
2017,5.63822,SAN MATEO PUBLIC LIBRARY
2018,7.04625,SAN MATEO PUBLIC LIBRARY
2019,3.94999,SAN MATEO PUBLIC LIBRARY
2010,5.62065,SAN RAFAEL PUBLIC LIBRARY
2011,6.10846,SAN RAFAEL PUBLIC LIBRARY
2012,6.13764,SAN RAFAEL PUBLIC LIBRARY
2013,5.98853,SAN RAFAEL PUBLIC LIBRARY
2014,5.96585,SAN RAFAEL PUBLIC LIBRARY
2015,4.45233,SAN RAFAEL PUBLIC LIBRARY
2016,4.45677,SAN RAFAEL PUBLIC LIBRARY
2017,4.38961,SAN RAFAEL PUBLIC LIBRARY
2018,4.89182,SAN RAFAEL PUBLIC LIBRARY
2019,3.35643,SAN RAFAEL PUBLIC LIBRARY
2010,1.86875,SANTA ANA PUBLIC LIBRARY
2011,1.26341,SANTA ANA PUBLIC LIBRARY
2012,1.20572,SANTA ANA PUBLIC LIBRARY
2013,0.77345,SANTA ANA PUBLIC LIBRARY
2014,1.52368,SANTA ANA PUBLIC LIBRARY
2015,1.15996,SANTA ANA PUBLIC LIBRARY
2016,1.36309,SANTA ANA PUBLIC LIBRARY
2017,1.25997,SANTA ANA PUBLIC LIBRARY
2018,0.87413,SANTA ANA PUBLIC LIBRARY
2019,0.53524,SANTA ANA PUBLIC LIBRARY
2010,4.57543,SANTA BARBARA PUBLIC LIBRARY
2011,4.18876,SANTA BARBARA PUBLIC LIBRARY
2012,5.61007,SANTA BARBARA PUBLIC LIBRARY
2013,5.58403,SANTA BARBARA PUBLIC LIBRARY
2014,5.38531,SANTA BARBARA PUBLIC LIBRARY
2015,5.28333,SANTA BARBARA PUBLIC LIBRARY
2016,4.99221,SANTA BARBARA PUBLIC LIBRARY
2017,4.46247,SANTA BARBARA PUBLIC LIBRARY
2018,5.51592,SANTA BARBARA PUBLIC LIBRARY
2019,3.63875,SANTA BARBARA PUBLIC LIBRARY
2010,11.91665,SANTA CLARA CITY LIBRARY
2011,12.2851,SANTA CLARA CITY LIBRARY
2012,11.64908,SANTA CLARA CITY LIBRARY
2013,6.96408,SANTA CLARA CITY LIBRARY
2014,9.36344,SANTA CLARA CITY LIBRARY
2015,8.18624,SANTA CLARA CITY LIBRARY
2016,10.10973,SANTA CLARA CITY LIBRARY
2017,9.96806,SANTA CLARA CITY LIBRARY
2018,9.73909,SANTA CLARA CITY LIBRARY
2019,7.07025,SANTA CLARA CITY LIBRARY
2010,8.98561,SANTA CLARA COUNTY LIBRARY
2011,7.56755,SANTA CLARA COUNTY LIBRARY
2012,7.77857,SANTA CLARA COUNTY LIBRARY
2013,7.64486,SANTA CLARA COUNTY LIBRARY
2014,7.50863,SANTA CLARA COUNTY LIBRARY
2015,7.52489,SANTA CLARA COUNTY LIBRARY
2016,7.34699,SANTA CLARA COUNTY LIBRARY
2017,7.57816,SANTA CLARA COUNTY LIBRARY
2018,7.53415,SANTA CLARA COUNTY LIBRARY
2019,5.28305,SANTA CLARA COUNTY LIBRARY
2010,,SANTA CLARITA PUBLIC LIBRARY
2011,3.96969,SANTA CLARITA PUBLIC LIBRARY
2012,4.33704,SANTA CLARITA PUBLIC LIBRARY
2013,4.34275,SANTA CLARITA PUBLIC LIBRARY
2014,4.19418,SANTA CLARITA PUBLIC LIBRARY
2015,3.61381,SANTA CLARITA PUBLIC LIBRARY
2016,3.50748,SANTA CLARITA PUBLIC LIBRARY
2017,3.16143,SANTA CLARITA PUBLIC LIBRARY
2018,3.25364,SANTA CLARITA PUBLIC LIBRARY
2019,2.28898,SANTA CLARITA PUBLIC LIBRARY
2010,4.48206,SANTA CRUZ PUBLIC LIBRARIES
2011,6.70586,SANTA CRUZ PUBLIC LIBRARIES
2012,6.97115,SANTA CRUZ PUBLIC LIBRARIES
2013,5.21395,SANTA CRUZ PUBLIC LIBRARIES
2014,4.97955,SANTA CRUZ PUBLIC LIBRARIES
2015,4.93857,SANTA CRUZ PUBLIC LIBRARIES
2016,4.88963,SANTA CRUZ PUBLIC LIBRARIES
2017,5.01383,SANTA CRUZ PUBLIC LIBRARIES
2018,4.96674,SANTA CRUZ PUBLIC LIBRARIES
2019,3.45598,SANTA CRUZ PUBLIC LIBRARIES
2010,8.67477,SANTA FE SPRINGS CITY LIBRARY
