Year,Circulation Per Capita,Library
2014,1.59406,BERKELEY PUBLIC LIBRARY
2015,17.04175,BERKELEY PUBLIC LIBRARY
2016,16.14186,BERKELEY PUBLIC LIBRARY
2017,16.54632,BERKELEY PUBLIC LIBRARY
2018,19.49754,BERKELEY PUBLIC LIBRARY
2019,16.84169,BERKELEY PUBLIC LIBRARY
2010,19.95282,BEVERLY HILLS PUBLIC LIBRARY
2011,18.25788,BEVERLY HILLS PUBLIC LIBRARY
2012,0.18258,BEVERLY HILLS PUBLIC LIBRARY
2013,0.27061,BEVERLY HILLS PUBLIC LIBRARY
2014,0.29153,BEVERLY HILLS PUBLIC LIBRARY
2015,17.05595,BEVERLY HILLS PUBLIC LIBRARY
2016,15.67237,BEVERLY HILLS PUBLIC LIBRARY
2017,15.16618,BEVERLY HILLS PUBLIC LIBRARY
2018,14.18991,BEVERLY HILLS PUBLIC LIBRARY
2019,10.50194,BEVERLY HILLS PUBLIC LIBRARY
2010,2.63046,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2011,2.57325,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2012,0.11081,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2013,0.1674,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2014,0.21822,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2015,2.61316,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2016,3.12377,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2017,2.96837,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2018,3.0167,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2019,2.27879,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2010,2.01759,BRAWLEY PUBLIC LIBRARY
2011,3.35971,BRAWLEY PUBLIC LIBRARY
2012,,BRAWLEY PUBLIC LIBRARY
2013,,BRAWLEY PUBLIC LIBRARY
2014,,BRAWLEY PUBLIC LIBRARY
