Year,Expense Per Capita,Library
2011,279.74302,BEVERLY HILLS PUBLIC LIBRARY
2012,306.11257,BEVERLY HILLS PUBLIC LIBRARY
2013,308.92006,BEVERLY HILLS PUBLIC LIBRARY
2014,297.52855,BEVERLY HILLS PUBLIC LIBRARY
2015,338.54716,BEVERLY HILLS PUBLIC LIBRARY
2016,336.53643,BEVERLY HILLS PUBLIC LIBRARY
2017,341.15476,BEVERLY HILLS PUBLIC LIBRARY
2018,359.3765,BEVERLY HILLS PUBLIC LIBRARY
2019,390.14552,BEVERLY HILLS PUBLIC LIBRARY
2010,21.96526,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2011,21.26096,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2012,26.30832,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2013,22.99366,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2014,23.05122,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2015,23.95964,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2016,25.04159,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2017,26.47084,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2018,28.0088,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2019,31.37741,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2010,21.93479,BRAWLEY PUBLIC LIBRARY
2011,22.05914,BRAWLEY PUBLIC LIBRARY
2012,21.33019,BRAWLEY PUBLIC LIBRARY
2013,21.07306,BRAWLEY PUBLIC LIBRARY
2014,20.27534,BRAWLEY PUBLIC LIBRARY
2015,21.05379,BRAWLEY PUBLIC LIBRARY
2016,21.91202,BRAWLEY PUBLIC LIBRARY
2017,18.29522,BRAWLEY PUBLIC LIBRARY
2018,17.7507,BRAWLEY PUBLIC LIBRARY
2019,16.00113,BRAWLEY PUBLIC LIBRARY
2010,22.82724,BUENA PARK LIBRARY DISTRICT
2011,23.59653,BUENA PARK LIBRARY DISTRICT
2012,23.9441,BUENA PARK LIBRARY DISTRICT
2013,26.81886,BUENA PARK LIBRARY DISTRICT
2014,26.81656,BUENA PARK LIBRARY DISTRICT
2015,28.29538,BUENA PARK LIBRARY DISTRICT
2016,41.21598,BUENA PARK LIBRARY DISTRICT
2017,35.6446,BUENA PARK LIBRARY DISTRICT
2018,44.34478,BUENA PARK LIBRARY DISTRICT
2019,37.18807,BUENA PARK LIBRARY DISTRICT
2010,60.17812,BURBANK PUBLIC LIBRARY
